date,close,high,low,open,volume,rsi_14,stoch_rsi,stoch_rsi_k,stoch_rsi_d,tsi,uo,roc,willr,sma_10,sma_50,ema_20,ema_100,macd,macd_signal,adx,cci,bb_high,bb_low,bb_width,atr,mfi,obv
2019-08-06,36976.8515625,37241.76953125,36536.58984375,36568.03125,25400.0,31.144335637758232,0.31538440049153255,0.139307084210465,0.0800305184837072,-37.28052744048435,43.309216468128675,-3.547903436575804,-79.909366828932,37393.937890625,38935.790390625,37872.585493780956,38279.22167665324,-573.9099757147997,-459.2129052990665,38.073161027670075,-115.93751856288608,39528.78515996983,36525.963668155164,3002.8214918146696,507.7997696923685,22.381780291014664,59034500.0
2019-08-07,36690.5,37104.7890625,36610.5703125,37025.26953125,25300.0,28.409357460160052,0.28341233711706704,0.19959891253619966,0.12436164915331753,-38.38023461836551,42.31417900819566,-3.5250831221833185,-89.63978016876202,37278.223046875,38874.60578125,37760.00592294468,38247.761841471984,-595.7627789824546,-486.52288003574415,38.39548743539586,-114.52602488925683,39521.72887074296,36346.36605113204,3175.3628196109203,506.82969685719934,22.397821050638655,59009200.0
2019-08-08,37327.359375,37405.48046875,36655.41015625,36808.01171875,24100.0,40.85036458781259,1.0,0.532932245869533,0.29061274753873273,-34.96181783816327,51.78827420812934,-1.725465134707059,-52.49356509192289,37227.8609375,38831.111953125,37718.80148980709,38229.5360500567,-555.2910048590275,-500.27650500040085,37.60623397993724,-75.10789371471132,39412.92898866939,36305.59093320562,3107.3380554637697,524.2040265459708,29.545154845673736,59033300.0
2019-08-09,37581.91015625,37807.55078125,37406.26171875,37521.30078125,27400.0,44.96696148106714,1.0,0.7611374457056889,0.4978895347038073,-30.765523679605995,50.60281490370721,-0.7021262673395123,-35.30769247453157,37197.773046875,38786.11078125,37705.76421994451,38216.71177493181,-496.9482020716241,-499.61084441464556,35.66009675711678,-23.098699696429364,39305.58251609862,36297.50537452638,3008.077141572241,521.0602679534014,37.62280172457712,59060700.0
2019-08-13,36958.16015625,37755.16015625,36888.48828125,37755.16015625,28600.0,37.9898636519986,0.6569902838619369,0.8856634279539787,0.7265777065097336,-29.600885881049926,45.763795944187756,-2.307157524561085,-69.11889551660134,37124.951953125,38730.99,37634.56383292599,38191.78996070049,-495.3326363313827,-498.755202797993,34.852465420432814,-59.18306109340307,39163.01735457419,36246.21545792581,2916.8018966483796,545.7468113138727,36.63141059982967,59032100.0
2019-08-14,37311.53125,37473.609375,37000.76953125,37233.5,22500.0,43.35237384726824,0.9206232649280018,0.8592045162633127,0.835335129974327,-26.71726581353585,46.010025625053075,-1.5079613371590042,-48.961761540501215,37116.38125,38671.868203125,37603.79882502827,38174.35909514206,-460.2329162490714,-491.0507454882087,34.10252203636913,-46.37782067097989,38924.287462396846,36302.99456885315,2621.292893543694,543.5826975593104,42.615089948858255,59054600.0
2019-08-16,37350.328125,37444.44921875,36974.41015625,37383.0,26100.0,43.925723471006066,0.9488104132960264,0.8421413206953215,0.8623364216375378,-24.328259612118813,50.04848741281584,-0.8916830116490844,-42.601941561030436,37103.301953125,38617.203984375,37579.65875835891,38158.04165018875,-424.39340859200456,-477.7192781089679,33.45549196150612,-40.44216811162997,38608.3029558588,36432.447825391195,2175.8551304676075,538.3295807693596,36.42299027939895,59080700.0
2019-08-19,37402.48828125,37718.87890625,37358.48828125,37485.921875,17700.0,44.73558398213658,0.9886249652544287,0.9526862144928187,0.8846773504838179,-22.1929042960167,46.55025901537956,0.014038469794258077,-39.394907365154694,37141.71875,38574.659375,37562.78537958664,38143.08019733848,-387.31670598499477,-459.6387636841733,32.025078714474134,3.59735999716157,38331.48425662099,36559.769259004,1771.7149976169894,526.2025236608339,42.32870733573775,59098400.0
2019-08-20,37328.01171875,37511.55078125,37219.8984375,37441.75,20900.0,43.76367465914489,0.9408437316873162,0.9594263700792568,0.9180846350891324,-20.753183319343364,48.454211876086724,-0.4084973195359705,-40.5758668826868,37162.698046875,38528.901640625,37540.42598331648,38126.94022746544,-359.79529205089784,-439.67006935751823,30.994180387017877,-11.134173978295227,38181.571015142064,36608.782500482936,1572.7885146591289,509.44893938148863,42.381261351750126,59077500.0
2019-08-21,37060.37109375,37406.55078125,37022.51953125,37298.73046875,28500.0,40.369435720491666,0.7739753627214142,0.9011480198877194,0.9377535348199317,-20.53105285978107,41.14511558646232,0.11359451454041442,-53.72449337845998,37198.751171875,38474.418671875,37494.70647002444,38105.82004659979,-355.48294874582643,-422.8326452351799,30.44121898328375,-41.947353173688796,38088.61202045714,36604.665713917864,1483.9463065392774,500.4905329970966,41.718629612385435,59049000.0
2019-08-22,36472.9296875,37087.578125,36391.3515625,37087.578125,33100.0,34.115205970530866,0.46650345624211514,0.7271075168836151,0.8625606356168639,-22.37177269960507,35.42318969428389,-1.738469905698263,-94.23964341175075,37148.358984375,38404.868046875,37397.3943954983,38073.48558404335,-394.91466718207084,-417.2490496245581,30.976388785497615,-136.40401349220897,38045.40807967133,36496.88879532867,1548.519284342663,514.4716779615898,41.096998037900285,59015900.0
2019-08-23,36701.16015625,36807.33984375,36102.3515625,36387.6796875,38400.0,38.12593700078259,0.6636799536764972,0.6347195908800086,0.7543250425504479,-22.603430161176373,46.52564135081364,0.003597597443534484,-64.88336452623066,37149.425,38343.755078125,37331.08637271274,38046.310823096945,-403.1015924704989,-414.4195581937463,31.855460111833057,-145.67889657070955,37978.572686631735,36449.07536024326,1529.497326388475,528.0800067679048,39.23181104945034,59054300.0
2019-08-26,37494.12109375,37544.48046875,36492.6484375,37363.94921875,35600.0,49.60461703746019,1.0,0.7100611366395372,0.6906294148010538,-18.737355899917628,53.901175807401344,1.3989009593628783,-18.380825187672812,37166.101171875,38298.8103125,37346.613489002004,38035.37637301087,-341.6659566711678,-399.86883788923063,30.71245359970271,-3.3673154655211617,37920.33618835225,36473.62592102275,1446.7102673295012,565.4908656594831,40.454262301228816,59089900.0
2019-08-27,37641.26953125,37731.51171875,37449.69140625,37658.48046875,36500.0,51.40619382144799,1.0,0.8878933178921655,0.7442246818039039,-15.104034991986657,53.112135712344305,2.5913234522560336,-9.751426588260628,37172.037109375,38262.594296875,37374.6759692161,38027.572277134415,-277.90065774951654,-375.4752018612878,29.23973614713689,106.0137981974939,37869.06241231407,36500.74774393592,1368.3146683781524,545.2286832909487,48.748811228274036,59126400.0
2019-08-28,37451.83984375,37687.8203125,37249.19140625,37655.76953125,28600.0,48.97876274088319,0.8944449991977569,0.9648149997325853,0.8542564847547629,-12.959215698675994,54.3922112234045,0.33348318990217884,-20.86037417732074,37221.405078125,38232.4153125,37382.0249096479,38016.17163488918,-239.88633129808295,-348.35742774864684,28.220746344925523,77.56066784381903,37830.04867761056,36516.30835363943,1313.7403239711275,537.6144135023095,41.888048291997116,59097800.0
2019-08-29,37068.9296875,37381.80078125,36987.3515625,37381.80078125,31700.0,44.41336457548407,0.5955795408419641,0.8300081800132402,0.8942388325459971,-12.631606716699395,52.6569614884139,-1.3649664602390883,-43.3158240766406,37197.144921875,38192.867109375,37352.20631706239,37997.414368604244,-237.91481926293636,-326.26890605150476,27.70523777002784,0.6534723681534249,37806.788894885394,36506.7372769896,1300.0516178957914,532.3911183414302,41.19358352647137,59066100.0
2019-08-30,37332.7890625,37397.96875,36829.80859375,37222.26171875,33400.0,48.00964818133897,0.8035655527958242,0.7645300309451816,0.8531177368970025,-11.2028784851013,57.83830476931461,1.0136568072278525,-27.842008929491836,37195.391015625,38157.268125,37350.357054723114,37984.25347145367,-212.6102962238583,-303.53718408597547,27.474443239397004,15.477621866778371,37787.67941774282,36511.01355100718,1276.6658667356387,534.9460496206137,42.535895362888624,59099500.0
2019-09-03,36562.91015625,37188.37890625,36466.01171875,37181.76171875,23600.0,39.89861868708143,0.33447555260666084,0.5778735487481494,0.7241372532355239,-12.744947523779246,55.12229612572675,-2.006406782755666,-72.13478950366209,37111.433203125,38096.49375,37275.36211201139,37956.10805927141,-251.77674737587222,-293.18509674395483,27.7914657304527,-101.36218501590645,37812.68303203091,36440.468921094085,1372.214110936824,558.6482849155699,36.151234773401555,59075900.0
2019-09-04,36724.73828125,36776.30859375,36409.5390625,36575.23828125,25600.0,42.112471433180374,0.46251061718404524,0.5335172408621766,0.6253069401851693,-13.222853524051287,56.06590785448714,-1.674924626247845,-61.79708198961792,37051.105859375,38047.09875,37222.92174717697,37931.72449931059,-266.68409659895406,-287.88489671495466,28.164622155771614,-111.81956873070932,37815.051203494106,36398.7527027559,1416.2985007382085,544.9426596537435,36.45656284259239,59101500.0
